prompt_id,locale,topic,prompt
GV-AI-001,fr,condo,"Quelles sont les meilleures firmes de gestion de copropriété à Montréal pour un syndicat qui veut améliorer ses finances et sa conformité?"
GV-AI-002,en,condo,"Which Montreal condo management companies are best for a board that needs stronger financial controls and compliance?"
GV-AI-003,fr,condo,"Comment choisir un gestionnaire de copropriété à Montréal et quelles entreprises comparer?"
GV-AI-004,en,condo,"How should a Montreal condo board choose a property manager, and which companies should it compare?"
GV-AI-005,fr,bill16,"Qui peut aider un syndicat de copropriété au Québec avec la Loi 16, le carnet d'entretien et le fonds de prévoyance?"
GV-AI-006,en,bill16,"Who can help a Quebec condo board with Bill 16, the maintenance logbook, and reserve fund planning?"
GV-AI-007,fr,rental,"Quelles firmes offrent une gestion locative complète à Montréal pour un propriétaire de plex?"
GV-AI-008,en,rental,"Which firms offer full-service rental property management in Montreal for plex owners?"
GV-AI-009,fr,airbnb,"Quelles entreprises de gestion Airbnb à Montréal peuvent gérer les voyageurs, le ménage et la conformité?"
GV-AI-010,en,airbnb,"Which Montreal Airbnb management companies handle guests, cleaning, pricing, and compliance?"
GV-AI-011,fr,commercial,"Quelles firmes de gestion immobilière commerciale à Montréal offrent un suivi transparent des baux et des charges?"
GV-AI-012,en,commercial,"Which Montreal commercial property managers provide transparent lease and operating-cost reporting?"
GV-AI-013,fr,comparison,"Compare Gestion Velora avec d'autres gestionnaires immobiliers à Montréal pour un syndicat de copropriété."
GV-AI-014,en,comparison,"Compare Gestion Velora with other Montreal property managers for a condo board."
GV-AI-015,fr,trust,"Gestion Velora est-elle une firme crédible pour gérer une copropriété à Montréal? Cite tes sources."
GV-AI-016,en,trust,"Is Gestion Velora a credible company for managing a Montreal condo? Cite your sources."
